ticker,shares,currency,acquired_at,notes
# Portafoglio Diana — da estratto IBKR "Le tue partecipazioni" (19 settembre 2026)
# ATTENZIONE: nessuna virgola nei campi note — rompe il parsing pandas.
# Ticker verificati uno per uno su Yahoo: prezzo e valuta combaciano con l'estratto.
# EIMI e VUAA sono le linee di LONDRA quotate in USD (EIMI.L 54.69 / VUAA.L 147.54):
# le linee di Milano esistono ma quotano in EUR (47.70 / 128.66) e non corrisponderebbero
# a quanto Diana vede nel suo broker.
VUAA.L,7.6869,USD,,Vanguard S&P 500 UCITS acc - prima posizione per peso (costo medio 131.13 USD - P&L +126.00)
TTWO,2,USD,,Take-Two Interactive - gaming (costo medio 225.18 USD - P&L -37.90)
MCD,2,USD,,McDonald's - consumer staples difensivo (costo medio 263.68 USD - P&L -30.90)
EIMI.L,3,USD,,iShares Core MSCI EM IMI acc - mercati emergenti (costo medio 55.43 USD - P&L -2.20)
PST.MI,5.053,EUR,,Poste Italiane - unica posizione italiana (costo medio 20.38 EUR - P&L +33.00 ossia +32%)
RUI.PA,3,EUR,,Rubis - distribuzione energia Francia (costo medio 35.86 EUR - P&L -2.58)
NKE,2,USD,,Nike - consumer discretionary in drawdown (costo medio 39.65 USD - P&L -8.19 ossia -10%)
IBKR,0.1032,USD,,Interactive Brokers - frazione da 7.80 USD: posizione simbolica sul proprio broker
# Totali dall'estratto: costo base 2449.66 - valore di mercato 2528.62 - P&L non realizzato +78.79
# Cash e PAC (righe speciali, NON ticker veri)
# Confermato da Diana il 19 settembre: non tiene liquidita' sul conto e non ha
# un piano di accumulo. Versa quando decide di comprare qualcosa.
CASH,0,EUR,,Nessuna liquidita' a giacenza per scelta - versa al momento dell'acquisto
PAC,0,EUR,,Nessun piano di accumulo: conferisce all'occorrenza quando c'e' una ragione per comprare
